"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year"
"4","Great poll- thank you Nevada!#MakeAmericaGreatAgain #Trump2016 https://t.co/9Lr1v6vjJb",2015-12-30,1728,4376,"Great poll- thank you Nevada!#MakeAmericaGreatAgain #Trump2016 https://t.co/9Lr1v6vjJb",0.9,"neutral",6104,2015-12-01,2015-01-01
"5","I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!",2015-12-30,2050,5247,"I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!",0.8,"neutral",7297,2015-12-01,2015-01-01
"6","Thank you Hilton Head South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/TBAD5MeYCE",2015-12-30,1493,4420,"Thank you Hilton Head South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/TBAD5MeYCE",0.4,"neutral",5913,2015-12-01,2015-01-01
"7","Thank you Hilton Head South Carolina! @SCTeamTrump #Trump2016 https://t.co/RLCz17tIas https://t.co/L5IAlbsdkw",2015-12-30,1227,3705,"Thank you Hilton Head South Carolina! @SCTeamTrump #Trump2016 https://t.co/RLCz17tIas https://t.co/L5IAlbsdkw",0.4,"neutral",4932,2015-12-01,2015-01-01
"9","Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser and my comments haven't helped him much.",2015-12-30,766,2488,"Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser and my comments haven't helped him much.",-0.2,"neutral",3254,2015-12-01,2015-01-01
"14","Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads lunches donations speeches from me and tweets---very unethical.",2015-12-30,1121,3397,"Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads lunches donations speeches from me and tweets---very unethical.",-0.75,"neutral",4518,2015-12-01,2015-01-01
"17","I hope @TGowdySC does better for Rubio than he did at the #Benghazi hearings which were a total disaster for Republicans &amp; America!",2015-12-29,2194,5144,"I hope @TGowdySC does better for Rubio than he did at the #Benghazi hearings which were a total disaster for Republicans &amp; America!",0.3,"neutral",7338,2015-12-01,2015-01-01
"18","We need a real President! https://t.co/nw7BIAW7HV",2015-12-29,1936,5643,"We need a real President! https://t.co/nw7BIAW7HV",0.25,"neutral",7579,2015-12-01,2015-01-01
"20","So I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!",2015-12-29,4172,10349,"So I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!",-0.25,"neutral",14521,2015-12-01,2015-01-01
"21","My campaign for president is $35000000 under budget I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.",2015-12-29,3614,9464,"My campaign for president is $35000000 under budget I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.",0,"neutral",13078,2015-12-01,2015-01-01
"22","Minorities line up behind.....Donald Trump #Trump2016 #MakeAmericaGreatAgain https://t.co/cEMKihLZbK https://t.co/SxuutW2onm",2015-12-29,2344,4982,"Minorities line up behind.....Donald Trump #Trump2016 #MakeAmericaGreatAgain https://t.co/cEMKihLZbK https://t.co/SxuutW2onm",-0.1,"neutral",7326,2015-12-01,2015-01-01
"23",".@jessebwatters is terrific at hosting on @FoxNews - he really gets it!",2015-12-29,1115,3796,".@jessebwatters is terrific at hosting on @FoxNews - he really gets it!",0.5,"neutral",4911,2015-12-01,2015-01-01
"26","Thank you! #Trump2016 https://t.co/dTL7uybyeH https://t.co/yhQUQiuswl",2015-12-28,1571,4737,"Thank you! #Trump2016 https://t.co/dTL7uybyeH https://t.co/yhQUQiuswl",0.4,"neutral",6308,2015-12-01,2015-01-01
"30","Many of the great jobs that the people of our country want are long gone shipped to other countries. We now are part time sad! I WILL FIX!",2015-12-28,2964,7975,"Many of the great jobs that the people of our country want are long gone shipped to other countries. We now are part time sad! I WILL FIX!",0,"neutral",10939,2015-12-01,2015-01-01
"31","The middle-class has worked so hard are not getting the kind of jobs that they have long dreamed of - and no  effective raise in years. BAD",2015-12-28,3180,9155,"The middle-class has worked so hard are not getting the kind of jobs that they have long dreamed of - and no effective raise in years. BAD",0.55,"neutral",12335,2015-12-01,2015-01-01
"33","Hopefully the Republican National Committee can straighten out the total mess that is taking place in Virginia's Republican Party. FAST!",2015-12-28,2148,6263,"Hopefully the Republican National Committee can straighten out the total mess that is taking place in Virginia's Republican Party. FAST!",0.45,"neutral",8411,2015-12-01,2015-01-01
"34","Straighten out The Republican Party of Virginia before it is too late. Stupid!  RNC",2015-12-27,2233,5562,"Straighten out The Republican Party of Virginia before it is too late. Stupid! RNC",-0.65,"neutral",7795,2015-12-01,2015-01-01
"35",".@BernieSanders-who blew his campaign when he gave Hillary a pass on her e-mail crime said that I feel wages in America are too high. Lie!",2015-12-27,1985,5152,".@BernieSanders-who blew his campaign when he gave Hillary a pass on her e-mail crime said that I feel wages in America are too high. Lie!",-0.85,"neutral",7137,2015-12-01,2015-01-01
"38","It begins Republican Party of Virginia controlled by the RNC is working hard to disallow independent unaffiliated and new voters. BAD!",2015-12-27,2729,5439,"It begins Republican Party of Virginia controlled by the RNC is working hard to disallow independent unaffiliated and new voters. BAD!",-0.55,"neutral",8168,2015-12-01,2015-01-01
"40","Thank you! #Trump2016https://t.co/CE9f0mukFm https://t.co/XNV9Bg2ccY",2015-12-27,2366,7862,"Thank you! #Trump2016https://t.co/CE9f0mukFm https://t.co/XNV9Bg2ccY",0.4,"neutral",10228,2015-12-01,2015-01-01
"41","Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM so inappropriate!",2015-12-27,4520,10585,"Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM so inappropriate!",0.4,"neutral",15105,2015-12-01,2015-01-01
"42","A new terror warning was issued for European cties. At what point do we say we have had enough and get really tough and smart. Weak leaders!",2015-12-26,4838,10845,"A new terror warning was issued for European cties. At what point do we say we have had enough and get really tough and smart. Weak leaders!",-0.7,"neutral",15683,2015-12-01,2015-01-01
"43","#MakeAmericaGreatAgain #Trump2016 Story: https://t.co/PBOKbGIaVB https://t.co/wm9Y7E9RzB",2015-12-26,1537,4348,"#MakeAmericaGreatAgain #Trump2016 Story: https://t.co/PBOKbGIaVB https://t.co/wm9Y7E9RzB",-0.1,"neutral",5885,2015-12-01,2015-01-01
"48","@CNN just announced that TRUMP was #1 story of 2015. Totally meaningless however if we don't WIN IT ALL and Make America Great Again!",2015-12-25,1355,3129,"@CNN just announced that TRUMP was #1 story of 2015. Totally meaningless however if we don't WIN IT ALL and Make America Great Again!",0.15,"neutral",4484,2015-12-01,2015-01-01
"49","When will the Democrats and Hillary in particular say ""we must build a wall a great wall and Mexico is going to pay for it?"" Never!",2015-12-25,2042,5823,"When will the Democrats and Hillary in particular say ""we must build a wall a great wall and Mexico is going to pay for it?"" Never!",0.5,"neutral",7865,2015-12-01,2015-01-01
"51","Remember when failed candidate @JebBush said that illegals came across the border as AN ACT OF LOVE? He's spent $59 million and is at 3%.",2015-12-25,2169,6552,"Remember when failed candidate @JebBush said that illegals came across the border as AN ACT OF LOVE? He's spent $59 million and is at 3%.",0.25,"neutral",8721,2015-12-01,2015-01-01
"52","We have many problems in our house (country!) and we need to fix them before we let visitors come over and stay. MAKE AMERICA GREAT AGAIN!",2015-12-25,3395,9095,"We have many problems in our house (country!) and we need to fix them before we let visitors come over and stay. MAKE AMERICA GREAT AGAIN!",0,"neutral",12490,2015-12-01,2015-01-01
"54",".@deedeesorvino was GREAT today on @FoxNews  She gets what is going on in politics and sees it very clearly. Have her on more!",2015-12-25,852,3089,".@deedeesorvino was GREAT today on @FoxNews She gets what is going on in politics and sees it very clearly. Have her on more!",1,"neutral",3941,2015-12-01,2015-01-01
"56",".@danielhalper  Great job on @CNN today. Very wise indeed!",2015-12-25,683,2824,".@danielhalper Great job on @CNN today. Very wise indeed!",1,"neutral",3507,2015-12-01,2015-01-01
"58","I am now in Palm Beach Florida and will be going to church tonight. MAKE AMERICA GREAT AGAIN!",2015-12-24,2910,10005,"I am now in Palm Beach Florida and will be going to church tonight. MAKE AMERICA GREAT AGAIN!",0.6,"neutral",12915,2015-12-01,2015-01-01
"59",".@meetthepress and @chucktodd very dishonest in not showing the new @CNN Poll where I am at 39% 21points higher than Cruz. Be honest Chuck!",2015-12-24,1374,4092,".@meetthepress and @chucktodd very dishonest in not showing the new @CNN Poll where I am at 39% 21points higher than Cruz. Be honest Chuck!",0.55,"neutral",5466,2015-12-01,2015-01-01
"61","Wow because of the pressure put on by me ICE TO LAUNCH LARGE SCALE DEPORTATION RAIDS. It's about time!",2015-12-24,2748,7100,"Wow because of the pressure put on by me ICE TO LAUNCH LARGE SCALE DEPORTATION RAIDS. It's about time!",-0.7,"neutral",9848,2015-12-01,2015-01-01
"62","Next year will be an interesting one. I look forward to running against Hillary Clinton a totally flawed candidate and beating her soundly",2015-12-24,9779,19618,"Next year will be an interesting one. I look forward to running against Hillary Clinton a totally flawed candidate and beating her soundly",0.35,"neutral",29397,2015-12-01,2015-01-01
"64","Wow even lowly Rand Paul has just past @JebBush in the new @CNN Poll. Jeb is at 3% I'm at 39%. Stop throwing your money down the drain!",2015-12-24,2022,6066,"Wow even lowly Rand Paul has just past @JebBush in the new @CNN Poll. Jeb is at 3% I'm at 39%. Stop throwing your money down the drain!",1,"neutral",8088,2015-12-01,2015-01-01
"66","Poor @JebBush spent $50 million on his campaign I spent almost nothing. He's bottom (and gone) I'm top (by a lot). That's what U.S. needs!",2015-12-24,4100,11126,"Poor @JebBush spent $50 million on his campaign I spent almost nothing. He's bottom (and gone) I'm top (by a lot). That's what U.S. needs!",-0.75,"neutral",15226,2015-12-01,2015-01-01
"70","Hillary when you complain about ""a penchant for sexism"" who are you referring to. I have great respect for women. BE CAREFUL!",2015-12-23,4887,11344,"Hillary when you complain about ""a penchant for sexism"" who are you referring to. I have great respect for women. BE CAREFUL!",1,"neutral",16231,2015-12-01,2015-01-01
"75","The silent majority- is silent no more! Remember the importance of VOTING!#MakeAmericaGreatAgain #Trump2016 https://t.co/wBdSg5ab25",2015-12-23,3447,6696,"The silent majority- is silent no more! Remember the importance of VOTING!#MakeAmericaGreatAgain #Trump2016 https://t.co/wBdSg5ab25",0.65,"neutral",10143,2015-12-01,2015-01-01
"77","#MakeAmericaGreatAgain #Trump2016 https://t.co/e9dEs4HuwQ",2015-12-23,2676,6204,"#MakeAmericaGreatAgain #Trump2016 https://t.co/e9dEs4HuwQ",-0.1,"neutral",8880,2015-12-01,2015-01-01
"78","Thank you America! Together- we will #MakeAmericaGreatAgain! https://t.co/MWMFn4asWH",2015-12-23,2795,6139,"Thank you America! Together- we will #MakeAmericaGreatAgain! https://t.co/MWMFn4asWH",0.5,"neutral",8934,2015-12-01,2015-01-01
"83","#MakeAmericaGreatAgain #Trump2016 https://t.co/TUDwrg6RsD",2015-12-23,1917,4679,"#MakeAmericaGreatAgain #Trump2016 https://t.co/TUDwrg6RsD",-0.1,"neutral",6596,2015-12-01,2015-01-01
"88","Jeb's big ad buy against me paid for by lobbyists shows my face but doesn't have me answering Jeb's statements. He is really pathetic!",2015-12-22,1718,5471,"Jeb's big ad buy against me paid for by lobbyists shows my face but doesn't have me answering Jeb's statements. He is really pathetic!",-0.5,"neutral",7189,2015-12-01,2015-01-01
"90","Women defy media narrative love Trump at packed Michigan rally.VIDEO: https://t.co/yreUny7shA https://t.co/dE9odwIRQi",2015-12-22,4220,8990,"Women defy media narrative love Trump at packed Michigan rally.VIDEO: https://t.co/yreUny7shA https://t.co/dE9odwIRQi",0.15,"neutral",13210,2015-12-01,2015-01-01
"91",".@JebBush's opening and closing in the debate were said by all to be terrible--fumbled around incoherent.",2015-12-22,791,2791,".@JebBush's opening and closing in the debate were said by all to be terrible--fumbled around incoherent.",-0.5,"neutral",3582,2015-12-01,2015-01-01
"92","Why doesn't @JebBush in his ads show my answer to his statement in the debate?",2015-12-22,833,3014,"Why doesn't @JebBush in his ads show my answer to his statement in the debate?",0,"neutral",3847,2015-12-01,2015-01-01
"93","Will @JebBush in his phony advertising campaign show himself asking me to apologize to his wife in the debate?",2015-12-22,795,2698,"Will @JebBush in his phony advertising campaign show himself asking me to apologize to his wife in the debate?",0.05,"neutral",3493,2015-12-01,2015-01-01
"95","Weak and low energy @JebBush whose campaign is a disaster is now doing ads against me where he tries to look like a tough guy.",2015-12-22,1515,4093,"Weak and low energy @JebBush whose campaign is a disaster is now doing ads against me where he tries to look like a tough guy.",-0.75,"neutral",5608,2015-12-01,2015-01-01
"96","Video from Michigan last night. After asking for months the media panned their cameras! https://t.co/jXwS0y08L7 https://t.co/ikjkpmOAeu",2015-12-22,1594,4379,"Video from Michigan last night. After asking for months the media panned their cameras! https://t.co/jXwS0y08L7 https://t.co/ikjkpmOAeu",0,"neutral",5973,2015-12-01,2015-01-01
"97","THANK YOU America! #MakeAmericaGreatAgain #Trump2016 https://t.co/x0QaqjjMj0",2015-12-22,1573,3705,"THANK YOU America! #MakeAmericaGreatAgain #Trump2016 https://t.co/x0QaqjjMj0",0.4,"neutral",5278,2015-12-01,2015-01-01
"98","Thank you - Michigan!#MakeAmericaGreatAgain #Trump2016 https://t.co/5GilNQKyzJ",2015-12-22,1063,3284,"Thank you - Michigan!#MakeAmericaGreatAgain #Trump2016 https://t.co/5GilNQKyzJ",0.4,"neutral",4347,2015-12-01,2015-01-01
"103","Do you think that Hillary Clinton will apologize to me for the lie she told about ""the video"" of me being used by ISIS. There is no video.",2015-12-21,3158,8461,"Do you think that Hillary Clinton will apologize to me for the lie she told about ""the video"" of me being used by ISIS. There is no video.",0.3,"neutral",11619,2015-12-01,2015-01-01
"105","A suicide bomber has just killed U.S. troops in Afghanistan. When will our leaders get tough and smart. We are being led to slaughter!",2015-12-21,4407,9214,"A suicide bomber has just killed U.S. troops in Afghanistan. When will our leaders get tough and smart. We are being led to slaughter!",-0.85,"neutral",13621,2015-12-01,2015-01-01
"107","Phyllis Schlafly: Trump is 'last hope for America' https://t.co/jCxqfVCGB6 https://t.co/sk713ir5NQ",2015-12-21,2492,5608,"Phyllis Schlafly: Trump is 'last hope for America' https://t.co/jCxqfVCGB6 https://t.co/sk713ir5NQ",0.4,"neutral",8100,2015-12-01,2015-01-01
"109","Just out: TRUMP GOP DEBATE - 18000000. CLINTON DEMOCRAT DEBATE - 6700000. And they were on major network vs. cable!",2015-12-21,2643,6847,"Just out: TRUMP GOP DEBATE - 18000000. CLINTON DEMOCRAT DEBATE - 6700000. And they were on major network vs. cable!",0.3,"neutral",9490,2015-12-01,2015-01-01
"110","Hillary said with respect to ISIS ""we are finally where we need to be."" Do we want 4  more years of incompetent leadership?  MAGA!",2015-12-21,2964,7128,"Hillary said with respect to ISIS ""we are finally where we need to be."" Do we want 4 more years of incompetent leadership? MAGA!",0.15,"neutral",10092,2015-12-01,2015-01-01
"111","I demand an apology from Hillary Clinton for the disgusting story she made up about me for purposes of the debate. There never was a video.",2015-12-21,4509,9646,"I demand an apology from Hillary Clinton for the disgusting story she made up about me for purposes of the debate. There never was a video.",-0.9,"neutral",14155,2015-12-01,2015-01-01
"112","Hillary said at debate ISIS is ""going to people showing videos in order to recruit more radical jihadistst."" She made up story-want apology!",2015-12-21,1739,4820,"Hillary said at debate ISIS is ""going to people showing videos in order to recruit more radical jihadistst."" She made up story-want apology!",0,"neutral",6559,2015-12-01,2015-01-01
"113","Very sad what happened last night at the Miss Universe Pageant. I sold it 6 months ago for a record price. This would never have happened!",2015-12-21,4909,9440,"Very sad what happened last night at the Miss Universe Pageant. I sold it 6 months ago for a record price. This would never have happened!",-0.5,"neutral",14349,2015-12-01,2015-01-01
"114",".@JebBush today said he didn't want to be the front-runner he would rather be where he is now 2%. That is the talk of a loser can't win!",2015-12-21,3119,8076,".@JebBush today said he didn't want to be the front-runner he would rather be where he is now 2%. That is the talk of a loser can't win!",0.4,"neutral",11195,2015-12-01,2015-01-01
"115","Great poll out of Illinois! Thank you!#MakeAmericaGreatAgain #Trump2016 https://t.co/Fd48umfyCw",2015-12-21,1896,4875,"Great poll out of Illinois! Thank you!#MakeAmericaGreatAgain #Trump2016 https://t.co/Fd48umfyCw",0.9,"neutral",6771,2015-12-01,2015-01-01
"117","My friend @AriEmanuel of @IMG bought the Miss Universe pageants from me and they are on tonight on #Fox! Tune in!",2015-12-21,950,2950,"My friend @AriEmanuel of @IMG bought the Miss Universe pageants from me and they are on tonight on #Fox! Tune in!",0.8,"neutral",3900,2015-12-01,2015-01-01
"119","Hillary Clinton spokesperson admitted that their was no ISIS video of me. Therefore Hillary LIED at the debate last night. SAD!",2015-12-20,5813,11941,"Hillary Clinton spokesperson admitted that their was no ISIS video of me. Therefore Hillary LIED at the debate last night. SAD!",-0.4,"neutral",17754,2015-12-01,2015-01-01
"120",".@JebBush was terrible on Face The Nation today. Being at 2% and falling seems to have totally affected his confidence. A basket case!",2015-12-20,2013,5550,".@JebBush was terrible on Face The Nation today. Being at 2% and falling seems to have totally affected his confidence. A basket case!",-0.75,"neutral",7563,2015-12-01,2015-01-01
"123",".@GStephanopoulos stupidly believes that Hillary wants to run against me because she said so. She says that so people believe it - opposite!",2015-12-20,1685,4276,".@GStephanopoulos stupidly believes that Hillary wants to run against me because she said so. She says that so people believe it - opposite!",-0.75,"neutral",5961,2015-12-01,2015-01-01
"124","#MakeAmericaGreatAgain #Trump2016 https://t.co/7FkgBAqF4A",2015-12-19,3471,7311,"#MakeAmericaGreatAgain #Trump2016 https://t.co/7FkgBAqF4A",-0.1,"neutral",10782,2015-12-01,2015-01-01
"125","Thank you America! @FoxNews post-debate poll with +/- from previous poll. #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/KorKlSr01P",2015-12-19,2753,6526,"Thank you America! @FoxNews post-debate poll with +/- from previous poll. #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/KorKlSr01P",0.5,"neutral",9279,2015-12-01,2015-01-01
"126","Thank you Cedar Rapids Iowa!#MakeAmericaGreatAgain https://t.co/0llSs8U77Q https://t.co/dlpd0EkR45",2015-12-19,1649,4188,"Thank you Cedar Rapids Iowa!#MakeAmericaGreatAgain https://t.co/0llSs8U77Q https://t.co/dlpd0EkR45",0.5,"neutral",5837,2015-12-01,2015-01-01
"127","President Obama spends so much time speaking of the so-called Carbon footprint and yet he flies all the way to Hawaii on a massive old 747.",2015-12-19,6539,14433,"President Obama spends so much time speaking of the so-called Carbon footprint and yet he flies all the way to Hawaii on a massive old 747.",0,"neutral",20972,2015-12-01,2015-01-01
"130","Thank you for all of your support! Most importantly - we need to get everyone out to VOTE! #VoteTrump2016 https://t.co/ezCsk3cWaJ",2015-12-18,3661,9012,"Thank you for all of your support! Most importantly - we need to get everyone out to VOTE! #VoteTrump2016 https://t.co/ezCsk3cWaJ",0.75,"neutral",12673,2015-12-01,2015-01-01
"131","The last thing our country needs is another BUSH! Dumb as a rock!",2015-12-18,6192,12511,"The last thing our country needs is another BUSH! Dumb as a rock!",-0.75,"neutral",18703,2015-12-01,2015-01-01
"132",".@JebBush has embarrassed himself &amp; his family with his incompetent campaign for President. He should remain true to himself.",2015-12-18,2252,5720,".@JebBush has embarrassed himself &amp; his family with his incompetent campaign for President. He should remain true to himself.",-0.65,"neutral",7972,2015-12-01,2015-01-01
"133","#MakeAmericaGreatAgain #Trump2016https://t.co/PUGaxGCASM https://t.co/1O67oFDofU",2015-12-18,1616,3574,"#MakeAmericaGreatAgain #Trump2016https://t.co/PUGaxGCASM https://t.co/1O67oFDofU",-0.1,"neutral",5190,2015-12-01,2015-01-01
"136",".@MelindaDC  Don’t misrepresent in order to make a point. I was always tough on ISIS--as you’ll find out after I get elected.",2015-12-18,1430,4151,".@MelindaDC Don’t misrepresent in order to make a point. I was always tough on ISIS--as you’ll find out after I get elected.",-0.25,"neutral",5581,2015-12-01,2015-01-01
"139","#ISIS is making $400M/year on oil. I have been saying it for years. We need to bomb the oil! https://t.co/vObIAhilWs https://t.co/teKBaKdXzK",2015-12-18,4550,9833,"#ISIS is making $400M/year on oil. I have been saying it for years. We need to bomb the oil! https://t.co/vObIAhilWs https://t.co/teKBaKdXzK",-0.75,"neutral",14383,2015-12-01,2015-01-01
"141","#MakeAmericaGreatAgain I will be in Cedar RapidsIA this Saturday. Get your tickets-https://t.co/QcqOsG3jqo",2015-12-17,1506,3428,"#MakeAmericaGreatAgain I will be in Cedar RapidsIA this Saturday. Get your tickets-https://t.co/QcqOsG3jqo",0,"neutral",4934,2015-12-01,2015-01-01
"142","#MakeAmericaGreatAgain #Trump2016 https://t.co/uJu4zrzXL8",2015-12-17,2799,6669,"#MakeAmericaGreatAgain #Trump2016 https://t.co/uJu4zrzXL8",-0.1,"neutral",9468,2015-12-01,2015-01-01
"143","Thank you! #MakeAmericaGreatAgain https://t.co/xkki2M6ht1",2015-12-17,4743,9788,"Thank you! #MakeAmericaGreatAgain https://t.co/xkki2M6ht1",0.5,"neutral",14531,2015-12-01,2015-01-01
"144","Will be on @jimmykimmel in 20 minutes on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain",2015-12-17,979,3624,"Will be on @jimmykimmel in 20 minutes on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain",-0.1,"neutral",4603,2015-12-01,2015-01-01
"146","I will be doing @oreillyfactor tonight at 8:00pmE from Mesa Arizona - will be talking about the #GOPDebate &amp; more. https://t.co/Z3fVfHCKIo",2015-12-17,1334,4917,"I will be doing @oreillyfactor tonight at 8:00pmE from Mesa Arizona - will be talking about the #GOPDebate &amp; more. https://t.co/Z3fVfHCKIo",0,"neutral",6251,2015-12-01,2015-01-01
"147","Will be on @jimmykimmel tonight at 11:35pmE on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain",2015-12-17,1261,3483,"Will be on @jimmykimmel tonight at 11:35pmE on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain",-0.1,"neutral",4744,2015-12-01,2015-01-01
"149","Hillary Clinton is weak and ineffective - no strength no stamina.",2015-12-16,5988,12686,"Hillary Clinton is weak and ineffective - no strength no stamina.",-0.25,"neutral",18674,2015-12-01,2015-01-01
"152","Will be interviewed on the @oreillyfactor tonight at 8:00 P.M. Will be talking about the debate and more!",2015-12-16,1125,3452,"Will be interviewed on the @oreillyfactor tonight at 8:00 P.M. Will be talking about the debate and more!",-0.25,"neutral",4577,2015-12-01,2015-01-01
"153","Bill O'Reilly calls Trump and  campaign brilliant. In first place by 27 points.",2015-12-16,2030,5779,"Bill O'Reilly calls Trump and campaign brilliant. In first place by 27 points.",0.9,"neutral",7809,2015-12-01,2015-01-01
"154",".@MarkHalperin works so hard but just doesn't have a natural instinct for politics. Others do and those are the people you want to follow!",2015-12-16,804,2326,".@MarkHalperin works so hard but just doesn't have a natural instinct for politics. Others do and those are the people you want to follow!",0.6,"neutral",3130,2015-12-01,2015-01-01
"158","We're not talking about religion; we're talking about security. #GOPDebatehttps://t.co/OhI1qXEOzC",2015-12-16,3260,7586,"We're not talking about religion; we're talking about security. #GOPDebatehttps://t.co/OhI1qXEOzC",0,"neutral",10846,2015-12-01,2015-01-01
"159","#GOPDebate #Trump2016https://t.co/czHzN0QkQN",2015-12-16,1017,3134,"#GOPDebate #Trump2016https://t.co/czHzN0QkQN",-0.1,"neutral",4151,2015-12-01,2015-01-01
"160","Departing for #GOPDebate. Let's #MakeAmericaGreatAgain! https://t.co/nMNilyuL2F https://t.co/Bwyu1U3rHU",2015-12-16,2140,5481,"Departing for #GOPDebate. Let's #MakeAmericaGreatAgain! https://t.co/nMNilyuL2F https://t.co/Bwyu1U3rHU",0,"neutral",7621,2015-12-01,2015-01-01
"162","New PPP poll just released in Iowa- up 6 points from last poll. Leading w/ 28%! Don't worry - media won't report it! https://t.co/yjWiLBGUpm",2015-12-15,1908,4766,"New PPP poll just released in Iowa- up 6 points from last poll. Leading w/ 28%! Don't worry - media won't report it! https://t.co/yjWiLBGUpm",0.3,"neutral",6674,2015-12-01,2015-01-01
"164","#TheRemembranceProjecthttps://t.co/zMW0mkkFEg https://t.co/XHIweo9LWG",2015-12-15,1344,3181,"#TheRemembranceProjecthttps://t.co/zMW0mkkFEg https://t.co/XHIweo9LWG",0,"neutral",4525,2015-12-01,2015-01-01
"166","I won every debate so far according to all debate polls including @DRUDGE_REPORT @TIME @Slate and more. Too bad dopey @megynkelly lies!",2015-12-15,1503,4210,"I won every debate so far according to all debate polls including @DRUDGE_REPORT @TIME @Slate and more. Too bad dopey @megynkelly lies!",-0.65,"neutral",5713,2015-12-01,2015-01-01
"167","Between Iraq war monger @krauthammer dummy @KarlRove deadpan @GeorgezWill highly overrated @megynkelly among others @FoxNews not fair!",2015-12-15,1376,3368,"Between Iraq war monger @krauthammer dummy @KarlRove deadpan @GeorgezWill highly overrated @megynkelly among others @FoxNews not fair!",-0.5,"neutral",4744,2015-12-01,2015-01-01
"169","I wonder if @megynkelly and her flunkies have written their scripts yet about my debate performance tonight. No matter how well I do - bad!",2015-12-15,1489,4338,"I wonder if @megynkelly and her flunkies have written their scripts yet about my debate performance tonight. No matter how well I do - bad!",0.45,"neutral",5827,2015-12-01,2015-01-01
"170",".@megynkelly is very bad at math. She was totally unable to figure out the difference between me and Cruz in the new Monmouth Poll 41to14.",2015-12-15,1440,3925,".@megynkelly is very bad at math. She was totally unable to figure out the difference between me and Cruz in the new Monmouth Poll 41to14.",-0.45,"neutral",5365,2015-12-01,2015-01-01
"171",".@megynkelly the most overrated anchor at @FoxNews worked hard to explain away the new Monmouth poll 41 to 14 or 27 pt lead. She said 15!",2015-12-15,1214,3257,".@megynkelly the most overrated anchor at @FoxNews worked hard to explain away the new Monmouth poll 41 to 14 or 27 pt lead. She said 15!",0.8,"neutral",4471,2015-12-01,2015-01-01
"173","Isn't it amazing that @CNN paid a fortune for an Iowa Poll which shows me in first place over Cruz by 13% 33% to 20% - then doesn't use it",2015-12-15,2014,5201,"Isn't it amazing that @CNN paid a fortune for an Iowa Poll which shows me in first place over Cruz by 13% 33% to 20% - then doesn't use it",1,"neutral",7215,2015-12-01,2015-01-01
"175","Thank you for your support! #MakeAmericaGreatAgain #Trump2016https://t.co/yohiKUsL3V",2015-12-15,1039,3165,"Thank you for your support! #MakeAmericaGreatAgain #Trump2016https://t.co/yohiKUsL3V",0.9,"neutral",4204,2015-12-01,2015-01-01
"176","What an evening in Las Vegas Nevada! THANK YOU for your continued support. #Trump2016 https://t.co/uUwRk7RuGK https://t.co/J0qJaIg35u",2015-12-15,1824,5212,"What an evening in Las Vegas Nevada! THANK YOU for your continued support. #Trump2016 https://t.co/uUwRk7RuGK https://t.co/J0qJaIg35u",0.9,"neutral",7036,2015-12-01,2015-01-01
"177","@oreillyfactor horrible defense of me against highly overrated @krauthammer. I will bring more people into the party &amp; easily beat Hillary!",2015-12-15,935,2127,"@oreillyfactor horrible defense of me against highly overrated @krauthammer. I will bring more people into the party &amp; easily beat Hillary!",-0.75,"neutral",3062,2015-12-01,2015-01-01
"178","Why doesn't @CNN use the #CNN Iowa poll? @andersoncooper @andydean2014",2015-12-15,1149,3315,"Why doesn't @CNN use the #CNN Iowa poll? @andersoncooper @andydean2014",0,"neutral",4464,2015-12-01,2015-01-01
"181","#MakeAmericaGreatAgain #Trump2016https://t.co/yjAIiFuVWm https://t.co/dfH0ABwZk0",2015-12-14,1056,3251,"#MakeAmericaGreatAgain #Trump2016https://t.co/yjAIiFuVWm https://t.co/dfH0ABwZk0",-0.1,"neutral",4307,2015-12-01,2015-01-01
